feature,saliency
HGT@surface,2.641169e-06
TMP@1000mb,6.1580204e-07
TMP@850mb,5.65231e-07
VGRD@925mb,5.2390396e-07
GUST@surface,4.920797e-07
UGRD@700mb,4.8674053e-07
VGRD@850mb,4.6716292e-07
APCP_1hr_acc_fcst@surface,4.6631502e-07
UGRD@250mb,4.6218597e-07
RH@2m_above_ground,4.3720686e-07
MCDC@middle_cloud_layer,4.17664e-07
UGRD@850mb,3.9650047e-07
VIL@entire_atmosphere,3.558665e-07
UGRD@1000mb,3.5179528e-07
VGRD@250mb,3.4842589e-07
VGRD@10m_above_ground,3.4440694e-07
DPT@500mb,3.3101412e-07
UGRD@10m_above_ground,3.306769e-07
LCDC@low_cloud_layer,3.27023e-07
VGRD@700mb,3.0407662e-07
DPT@850mb,2.874338e-07
PWAT@entire_atmosphere_single_layer,2.8740288e-07
TMP@2m_above_ground,2.860774e-07
RHPW@entire_atmosphere,2.8236178e-07
TMP@925mb,2.821032e-07
TCDC@entire_atmosphere,2.780423e-07
UGRD@500mb,2.7106324e-07
CAPE@surface,2.5027677e-07
VGRD@500mb,2.452943e-07
UGRD@925mb,2.2857007e-07
TMP@500mb,2.2745702e-07
HGT@850mb,2.115199e-07
DPT@925mb,2.0600743e-07
HGT@1000mb,2.0267096e-07
TMP@700mb,2.023049e-07
VGRD@1000mb,2.0031975e-07
DPT@1000mb,1.9176069e-07
DSWRF@surface,1.871883e-07
HCDC@high_cloud_layer,1.7879267e-07
DPT@700mb,1.7678406e-07
HGT@700mb,1.3660657e-07
HGT@500mb,9.5898365e-08
