feature,saliency
HGT@surface,1.8819982e-06
TMP@1000mb,6.142463e-07
MCDC@middle_cloud_layer,4.639511e-07
UGRD@10m_above_ground,3.6028732e-07
UGRD@250mb,3.384873e-07
UGRD@850mb,3.0855202e-07
TMP@850mb,3.0707318e-07
RH@2m_above_ground,3.0595595e-07
DPT@500mb,2.9216554e-07
UGRD@700mb,2.746247e-07
VGRD@850mb,2.6739255e-07
VGRD@925mb,2.660254e-07
UGRD@1000mb,2.6435478e-07
LCDC@low_cloud_layer,2.6070035e-07
VGRD@250mb,2.560902e-07
VIL@entire_atmosphere,2.5403293e-07
GUST@surface,2.522772e-07
HCDC@high_cloud_layer,2.420168e-07
DPT@850mb,2.3413523e-07
TMP@2m_above_ground,2.2819867e-07
APCP_1hr_acc_fcst@surface,2.2810298e-07
VGRD@10m_above_ground,2.2306662e-07
VGRD@500mb,2.1439531e-07
VGRD@700mb,2.0291985e-07
VGRD@1000mb,1.9337708e-07
TCDC@entire_atmosphere,1.7915359e-07
UGRD@925mb,1.7064673e-07
UGRD@500mb,1.6525541e-07
RHPW@entire_atmosphere,1.5996793e-07
HGT@1000mb,1.5753099e-07
TMP@700mb,1.5317669e-07
HGT@850mb,1.5270246e-07
PWAT@entire_atmosphere_single_layer,1.4778917e-07
CAPE@surface,1.3944921e-07
TMP@500mb,1.3675985e-07
DPT@1000mb,1.3340191e-07
DPT@700mb,1.3232639e-07
TMP@925mb,1.240846e-07
DPT@925mb,1.1809869e-07
HGT@700mb,1.12788214e-07
DSWRF@surface,8.1944734e-08
HGT@500mb,6.825802e-08
