architecture,method_1,method_2,mean_cka_across_layers,std_cka_across_layers,mean_cca_across_layers,std_cca_across_layers,min_cka,max_cka,min_cca,max_cca
resnet50,full,full,0.9999999602635702,1.4868010627325142e-07,0.9991843789898055,0.0016590393933564832,0.9999996423721313,1.0000001192092896,0.9954803324594631,1.0
resnet50,full,gradual_unfreeze_every10,0.5852847794691721,0.15590280687832486,0.62640254361163,0.16300044336583994,0.33817487955093384,0.8492540717124939,0.4525889006670439,0.9218181318298548
resnet50,full,last_layer,0.22150014589230219,0.17433953809696612,0.46209835061860827,0.04832138685035863,0.06186949461698532,0.5744994282722473,0.368519226487873,0.51600018435014
resnet50,full,gradual_unfreeze_every10,0.5852847794691721,0.15590280687832486,0.6269211456236806,0.16302793925562925,0.33817487955093384,0.8492540717124939,0.452608468572554,0.921819246892745
resnet50,full,last_layer,0.22150014589230219,0.17433953809696612,0.46260534076336074,0.04853744442519114,0.06186949461698532,0.5744994282722473,0.36868498789473086,0.5180449567803448
resnet50,gradual_unfreeze_every10,last_layer,0.3550656773149967,0.29601199386083155,0.6098469971225514,0.11870702894672247,0.07425802201032639,0.975695788860321,0.4805598558155289,0.7669596669834087
