feature,saliency
HGT@surface,8.255529e-07
TMP@1000mb,2.7369666e-07
UGRD@500mb,1.8107826e-07
RH@2m_above_ground,1.708521e-07
UGRD@850mb,1.6321397e-07
UGRD@10m_above_ground,1.6244375e-07
MCDC@middle_cloud_layer,1.5427922e-07
VGRD@925mb,1.3471437e-07
VIL@entire_atmosphere,1.2998127e-07
VGRD@250mb,1.2916247e-07
TMP@2m_above_ground,1.1986786e-07
UGRD@250mb,1.1931415e-07
TMP@850mb,1.18517065e-07
VGRD@500mb,1.1736427e-07
GUST@surface,1.1556589e-07
VGRD@700mb,1.1075674e-07
VGRD@850mb,1.1012006e-07
APCP_1hr_acc_fcst@surface,1.0961773e-07
LCDC@low_cloud_layer,1.0200467e-07
HGT@850mb,1.0196068e-07
DPT@500mb,1.0072973e-07
TCDC@entire_atmosphere,1.00173786e-07
HGT@1000mb,9.92324e-08
UGRD@1000mb,9.430032e-08
UGRD@700mb,9.3284704e-08
TMP@500mb,9.092673e-08
TMP@925mb,8.903986e-08
DPT@850mb,8.69228e-08
UGRD@925mb,8.5407095e-08
CAPE@surface,7.408535e-08
VGRD@10m_above_ground,7.315726e-08
DSWRF@surface,7.293602e-08
DPT@925mb,7.09872e-08
HCDC@high_cloud_layer,6.99876e-08
DPT@700mb,6.8292834e-08
RHPW@entire_atmosphere,6.622489e-08
HGT@700mb,6.5638275e-08
VGRD@1000mb,6.497032e-08
DPT@1000mb,6.4506125e-08
PWAT@entire_atmosphere_single_layer,5.871501e-08
TMP@700mb,4.792806e-08
HGT@500mb,3.6067654e-08
