feature,saliency
HGT@surface,9.364324e-07
TMP@1000mb,3.723538e-07
UGRD@10m_above_ground,2.6279966e-07
UGRD@850mb,2.6116635e-07
UGRD@250mb,2.151749e-07
VIL@entire_atmosphere,2.0849383e-07
MCDC@middle_cloud_layer,1.8967823e-07
UGRD@925mb,1.8842996e-07
VGRD@250mb,1.7313512e-07
UGRD@500mb,1.6293382e-07
HCDC@high_cloud_layer,1.5613136e-07
VGRD@500mb,1.5351897e-07
TMP@500mb,1.4581884e-07
HGT@1000mb,1.4576243e-07
VGRD@925mb,1.456493e-07
DPT@500mb,1.431297e-07
GUST@surface,1.4229258e-07
UGRD@700mb,1.4038024e-07
VGRD@850mb,1.3823345e-07
RH@2m_above_ground,1.3813599e-07
APCP_1hr_acc_fcst@surface,1.339522e-07
TMP@850mb,1.322684e-07
UGRD@1000mb,1.3177815e-07
LCDC@low_cloud_layer,1.3173769e-07
HGT@850mb,1.2841478e-07
TCDC@entire_atmosphere,1.2807764e-07
TMP@2m_above_ground,1.2564038e-07
VGRD@700mb,1.2401513e-07
DPT@850mb,1.2203934e-07
PWAT@entire_atmosphere_single_layer,1.1791094e-07
HGT@700mb,1.099566e-07
TMP@925mb,1.0612155e-07
VGRD@1000mb,9.266633e-08
CAPE@surface,8.8199556e-08
DPT@700mb,8.7470326e-08
VGRD@10m_above_ground,8.5613856e-08
RHPW@entire_atmosphere,7.9191594e-08
DPT@1000mb,7.7331705e-08
TMP@700mb,6.818495e-08
DPT@925mb,6.621654e-08
DSWRF@surface,5.2362477e-08
HGT@500mb,3.845379e-08
