feature,saliency,group,example_rank_in_group,t_idx,timestamp,true_apcp_value,pred_apcp_value,true_label,pred_label,confidence,correct,example_id
HGT@surface,1.6629556e-06,confidently_incorrect,1,18619,2020-08-26 19:00:00,2.5129499435424805,0.000559316948056221,1,0,1.9994406830519438,False,01_confidently_incorrect_tidx_18619
TMP@1000mb,3.9461722e-07,confidently_incorrect,1,18619,2020-08-26 19:00:00,2.5129499435424805,0.000559316948056221,1,0,1.9994406830519438,False,01_confidently_incorrect_tidx_18619
RH@2m_above_ground,3.2407053e-07,confidently_incorrect,1,18619,2020-08-26 19:00:00,2.5129499435424805,0.000559316948056221,1,0,1.9994406830519438,False,01_confidently_incorrect_tidx_18619
UGRD@10m_above_ground,2.639725e-07,confidently_incorrect,1,18619,2020-08-26 19:00:00,2.5129499435424805,0.000559316948056221,1,0,1.9994406830519438,False,01_confidently_incorrect_tidx_18619
VGRD@250mb,2.6062645e-07,confidently_incorrect,1,18619,2020-08-26 19:00:00,2.5129499435424805,0.000559316948056221,1,0,1.9994406830519438,False,01_confidently_incorrect_tidx_18619
MCDC@middle_cloud_layer,2.5214158e-07,confidently_incorrect,1,18619,2020-08-26 19:00:00,2.5129499435424805,0.000559316948056221,1,0,1.9994406830519438,False,01_confidently_incorrect_tidx_18619
APCP_1hr_acc_fcst@surface,2.2417775e-07,confidently_incorrect,1,18619,2020-08-26 19:00:00,2.5129499435424805,0.000559316948056221,1,0,1.9994406830519438,False,01_confidently_incorrect_tidx_18619
TMP@850mb,2.1320531e-07,confidently_incorrect,1,18619,2020-08-26 19:00:00,2.5129499435424805,0.000559316948056221,1,0,1.9994406830519438,False,01_confidently_incorrect_tidx_18619
UGRD@500mb,2.1219975e-07,confidently_incorrect,1,18619,2020-08-26 19:00:00,2.5129499435424805,0.000559316948056221,1,0,1.9994406830519438,False,01_confidently_incorrect_tidx_18619
DPT@850mb,2.0750103e-07,confidently_incorrect,1,18619,2020-08-26 19:00:00,2.5129499435424805,0.000559316948056221,1,0,1.9994406830519438,False,01_confidently_incorrect_tidx_18619
UGRD@1000mb,2.0689258e-07,confidently_incorrect,1,18619,2020-08-26 19:00:00,2.5129499435424805,0.000559316948056221,1,0,1.9994406830519438,False,01_confidently_incorrect_tidx_18619
LCDC@low_cloud_layer,2.0082045e-07,confidently_incorrect,1,18619,2020-08-26 19:00:00,2.5129499435424805,0.000559316948056221,1,0,1.9994406830519438,False,01_confidently_incorrect_tidx_18619
