feature,top_k_count
HGT@surface,3
RH@2m_above_ground,3
TMP@1000mb,3
TMP@850mb,3
APCP_1hr_acc_fcst@surface,2
MCDC@middle_cloud_layer,2
UGRD@10m_above_ground,2
UGRD@250mb,2
UGRD@700mb,2
DPT@500mb,1
DPT@850mb,1
GUST@surface,1
UGRD@500mb,1
UGRD@850mb,1
VGRD@250mb,1
VGRD@850mb,1
VGRD@925mb,1
