architecture,strategy_1,strategy_2,mean_cka_across_layers,std_cka_across_layers,mean_cca_across_layers,std_cca_across_layers,min_cka,max_cka,min_cca,max_cca
resnet152,full,gradual,0.7364830027023951,0.2957341617370616,0.7255390318878003,0.10042764643623643,0.138204425573349,0.9996505379676819,0.6092362374241818,0.8743049605459019
resnet152,full,last_layer,0.6534921484999359,0.354433728105392,0.655426788704983,0.17366108155078094,0.0044875191524624825,0.9997705221176147,0.4231821811380046,0.8750285503946382
resnet152,full,scratch,0.44115780759602785,0.2961260412105223,0.5016148261569761,0.1005735256330627,0.027678189799189568,0.998523473739624,0.39106059685911854,0.6800307678160665
resnet152,gradual,last_layer,0.6883333176374435,0.3311021894189218,0.7082036458073772,0.14176733344323972,0.0438997745513916,0.999954104423523,0.5128148888827192,0.8891296794901781
resnet152,gradual,scratch,0.4588974540432294,0.291870841784897,0.5072280840662862,0.09331576493499003,0.03630988299846649,0.9988674521446228,0.40682357181639267,0.6771845934112198
resnet152,last_layer,scratch,0.4205799181945622,0.2992856923501807,0.4925560266607409,0.10642735232332427,0.008261519484221935,0.9987145662307739,0.3777192150916139,0.6819991344557598
